Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Count 2010,Median 2010,Count 2011,Median 2011,Count 2012,Median 2012,Count 2013,Median 2013,Count 2014,Median 2014,Count 2015,Median 2015,Count 2016,Median 2016,Count 2017,Median 2017,Count 2018,Median 2018,Count 2019,Median 2019,Count 2020,Median 2020
Brighton,"$1,810,000 ","$1,730,000 ","$1,789,500 ","$1,802,500 ","$1,940,000 ","$2,302,500 ","$2,740,000 ","$3,050,000 ","$2,888,000 ","$2,662,500 ","$3,065,000 ",726,$550 ,792,$578 ,803,$598 ,809,$628 ,934,$600 ,911,$633 ,955,$593 ,963,$616 ,933,$645 ,985,$651 ,871,$685 
Brighton East,"$1,255,000 ","$1,100,000 ","$1,075,000 ","$1,230,000 ","$1,300,000 ","$1,600,000 ","$1,750,000 ","$1,900,000 ","$1,890,000 ","$1,700,000 ","$1,950,000 ",339,$530 ,337,$577 ,377,$598 ,433,$582 ,407,$578 ,387,$600 ,428,$634 ,430,$652 ,415,$680 ,427,$700 ,417,$737 
Broadmeadows,"$384,000 ","$357,000 ","$320,000 ","$325,000 ","$345,000 ","$370,000 ","$416,500 ","$546,000 ","$575,000 ","$526,000 ","$555,000 ",1093,$303 ,1211,$313 ,1294,$313 ,1433,$310 ,1380,$320 ,1423,$327 ,1652,$333 ,1738,$346 ,1750,$365 ,1731,$370 ,1610,$370 
Brunswick,"$710,000 ","$670,000 ","$673,000 ","$750,000 ","$815,000 ","$860,500 ","$946,000 ","$1,200,000 ","$1,095,000 ","$1,036,500 ","$1,100,000 ",1693,$353 ,1852,$378 ,1972,$394 ,1978,$400 ,1937,$400 ,2090,$408 ,2007,$423 ,1964,$443 ,2043,$456 ,2039,$473 ,1938,$473 
Bulleen,"$728,000 ","$722,500 ","$707,000 ","$780,000 ","$861,000 ","$1,095,000 ","$1,170,000 ","$1,300,000 ","$1,230,000 ","$1,105,000 ","$1,178,500 ",1124,$389 ,1214,$401 ,1435,$403 ,1448,$416 ,1397,$428 ,1511,$443 ,1764,$450 ,2018,$456 ,2059,$478 ,2201,$489 ,2083,$481 
Bundoora,"$500,000 ","$490,000 ","$485,000 ","$530,000 ","$553,500 ","$600,500 ","$651,000 ","$753,000 ","$730,000 ","$730,000 ","$744,000 ",2296,$332 ,2617,$348 ,3040,$349 ,3089,$340 ,3173,$349 ,3138,$354 ,3387,$360 ,3363,$374 ,3317,$390 ,3312,$400 ,3032,$400 
Burwood,"$778,000 ","$799,000 ","$765,000 ","$780,000 ","$921,000 ","$1,190,000 ","$1,219,000 ","$1,357,000 ","$1,320,000 ","$1,165,500 ","$1,277,500 ",923,$358 ,994,$366 ,999,$391 ,1011,$400 ,1215,$398 ,1173,$405 ,1213,$426 ,1335,$441 ,1421,$458 ,1378,$468 ,1399,$458 
Burwood East,"$678,000 ","$630,000 ","$617,000 ","$685,500 ","$782,000 ","$982,500 ","$1,021,000 ","$1,126,500 ","$1,048,000 ","$1,020,000 ","$1,050,000 ",668,$362 ,741,$379 ,784,$384 ,837,$387 ,831,$398 ,858,$410 ,892,$420 ,962,$431 ,951,$450 ,1008,$455 ,956,$460 
Camberwell,"$1,345,000 ","$1,322,000 ","$1,300,000 ","$1,382,000 ","$1,655,000 ","$1,912,500 ","$2,090,000 ","$2,300,000 ","$2,155,000 ","$2,085,000 ","$2,060,000 ",1435,$387 ,1540,$405 ,1628,$418 ,1646,$425 ,1723,$425 ,1848,$430 ,1913,$443 ,1910,$459 ,1896,$489 ,1826,$500 ,1685,$497 
Canterbury,"$1,827,500 ","$1,730,000 ","$1,790,000 ","$1,950,000 ","$2,100,000 ","$2,523,000 ","$2,620,000 ","$3,140,000 ","$2,536,500 ","$2,902,500 ","$2,700,000 ",663,$408 ,692,$411 ,706,$420 ,712,$428 ,761,$446 ,750,$448 ,746,$450 ,754,$476 ,783,$495 ,749,$513 ,731,$515 
