Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Count 2010,Median 2010,Count 2011,Median 2011,Count 2012,Median 2012,Count 2013,Median 2013,Count 2014,Median 2014,Count 2015,Median 2015,Count 2016,Median 2016,Count 2017,Median 2017,Count 2018,Median 2018,Count 2019,Median 2019,Count 2020,Median 2020
Greensborough,"$530,000 ","$519,000 ","$491,000 ","$534,000 ","$574,000 ","$635,000 ","$717,000 ","$830,000 ","$815,000 ","$798,000 ","$850,000 ",2296,$332 ,2617,$348 ,3040,$349 ,3089,$340 ,3173,$349 ,3138,$354 ,3387,$360 ,3363,$374 ,3317,$390 ,3312,$400 ,3032,$400 
Hampton,"$1,295,000 ","$1,282,500 ","$1,200,000 ","$1,270,000 ","$1,340,000 ","$1,650,000 ","$1,800,000 ","$2,022,500 ","$1,905,000 ","$1,900,000 ","$2,000,000 ",979,$478 ,1047,$490 ,1169,$500 ,1150,$495 ,1182,$511 ,1320,$495 ,1274,$517 ,1225,$538 ,1231,$560 ,1210,$584 ,1229,$591 
Hampton Park,"$333,000 ","$335,000 ","$320,000 ","$330,000 ","$337,500 ","$370,000 ","$410,000 ","$505,000 ","$550,000 ","$502,000 ","$539,000 ",1788,$308 ,1899,$323 ,2069,$330 ,2055,$330 ,2090,$338 ,2199,$342 ,2212,$353 ,2324,$363 ,2425,$374 ,2489,$380 ,2195,$380 
Hastings,"$355,000 ","$350,000 ","$347,000 ","$345,000 ","$368,000 ","$365,000 ","$400,000 ","$507,500 ","$519,500 ","$506,000 ","$562,000 ",964,$276 ,977,$298 ,1100,$300 ,1123,$301 ,1117,$315 ,1071,$321 ,955,$338 ,900,$355 ,806,$373 ,826,$388 ,794,$405 
Hawthorn,"$1,430,000 ","$1,330,000 ","$1,405,000 ","$1,575,000 ","$1,606,500 ","$1,916,500 ","$2,245,000 ","$2,650,000 ","$2,506,500 ","$2,200,000 ","$2,492,500 ",1822,$344 ,1984,$350 ,2176,$349 ,2319,$351 ,2449,$355 ,2374,$366 ,2427,$373 ,2397,$381 ,2244,$399 ,2157,$408 ,1945,$413 
Heidelberg,"$815,000 ","$770,000 ","$750,000 ","$772,500 ","$840,500 ","$1,060,000 ","$1,150,000 ","$1,280,000 ","$1,114,000 ","$1,107,500 ","$1,300,000 ",987,$329 ,1009,$341 ,1096,$349 ,1104,$350 ,1149,$360 ,1270,$360 ,1226,$373 ,1340,$393 ,1416,$411 ,1383,$420 ,1362,$421 
Heidelberg West,"$475,000 ","$420,000 ","$400,000 ","$425,500 ","$461,000 ","$580,000 ","$630,000 ","$730,500 ","$700,000 ","$671,500 ","$713,000 ",987,$329 ,1009,$341 ,1096,$349 ,1104,$350 ,1149,$360 ,1270,$360 ,1226,$373 ,1340,$393 ,1416,$411 ,1383,$420 ,1362,$421 
Hoppers Crossing,"$327,500 ","$328,000 ","$312,500 ","$321,500 ","$340,000 ","$365,500 ","$415,000 ","$516,000 ","$552,000 ","$526,500 ","$550,000 ",4387,$278 ,4778,$287 ,5587,$290 ,4948,$290 ,4623,$299 ,4854,$310 ,4921,$325 ,5453,$341 ,6357,$360 ,7150,$370 ,7767,$369 
Hughesdale,"$838,000 ","$740,000 ","$741,500 ","$820,000 ","$856,000 ","$1,165,000 ","$1,222,500 ","$1,407,000 ","$1,260,000 ","$1,150,500 ","$1,250,000 ",749,$343 ,780,$350 ,776,$358 ,839,$363 ,855,$364 ,891,$385 ,925,$394 ,843,$405 ,910,$421 ,934,$431 ,874,$436 
Hurstbridge,"$491,000 ","$457,500 ","$445,000 ","$482,000 ","$482,000 ","$547,500 ","$614,500 ","$714,000 ","$731,000 ","$700,000 ","$775,000 ",2296,$332 ,2617,$348 ,3040,$349 ,3089,$340 ,3173,$349 ,3138,$354 ,3387,$360 ,3363,$374 ,3317,$390 ,3312,$400 ,3032,$400 
Ivanhoe,"$1,032,500 ","$980,000 ","$907,500 ","$1,100,000 ","$1,203,000 ","$1,125,000 ","$1,400,000 ","$1,515,000 ","$1,600,000 ","$1,580,000 ","$1,630,000 ",537,$351 ,517,$373 ,516,$391 ,496,$385 ,545,$399 ,563,$414 ,613,$425 ,776,$448 ,726,$454 ,736,$463 ,718,$467 
Ivanhoe East,"$1,415,000 ","$1,300,000 ","$1,200,000 ","$1,310,000 ","$1,513,000 ","$1,542,500 ","$1,764,500 ","$1,975,000 ","$1,914,000 ","$1,775,000 ","$2,055,000 ",537,$351 ,517,$373 ,516,$391 ,496,$385 ,545,$399 ,563,$414 ,613,$425 ,776,$448 ,726,$454 ,736,$463 ,718,$467 
Keilor,"$603,000 ","$570,000 ","$592,500 ","$572,500 ","$633,000 ","$703,000 ","$805,000 ","$845,000 ","$815,000 ","$836,500 ","$880,000 ",64,$350 ,58,$345 ,76,$355 ,77,$370 ,79,$373 ,66,$377 ,66,$402 ,66,$406 ,62,$435 ,59,$435 ,57,$413 
Keilor East,"$580,000 ","$587,500 ","$527,500 ","$560,000 ","$599,000 ","$651,000 ","$720,000 ","$843,000 ","$830,000 ","$835,000 ","$841,000 ",960,$335 ,1019,$348 ,1036,$350 ,1248,$364 ,1310,$370 ,1408,$374 ,1457,$386 ,1475,$398 ,1437,$414 ,1541,$420 ,1468,$415 
Kensington,"$675,500 ","$650,000 ","$650,000 ","$690,000 ","$730,000 ","$822,000 ","$908,000 ","$1,019,000 ","$1,020,000 ","$978,000 ","$1,103,500 ",1237,$365 ,1376,$375 ,1407,$381 ,1620,$384 ,1557,$389 ,1582,$396 ,1541,$400 ,1490,$411 ,1576,$423 ,1604,$440 ,1437,$440 
Kew,"$1,650,000 ","$1,650,000 ","$1,500,000 ","$1,751,000 ","$1,950,000 ","$2,080,000 ","$2,207,500 ","$2,320,000 ","$2,380,000 ","$2,345,000 ","$2,210,000 ",1059,$408 ,1070,$430 ,1109,$448 ,1163,$450 ,1177,$448 ,1203,$471 ,1212,$475 ,1238,$487 ,1231,$500 ,1156,$515 ,1096,$519 
Lalor,"$387,000 ","$380,000 ","$360,500 ","$365,000 ","$385,000 ","$445,000 ","$499,500 ","$625,500 ","$623,500 ","$590,000 ","$623,500 ",765,$295 ,909,$300 ,1053,$305 ,1062,$308 ,1070,$315 ,1072,$320 ,1112,$329 ,1119,$343 ,1117,$355 ,1130,$360 ,1133,$363 
Lilydale,"$438,500 ","$456,000 ","$420,000 ","$469,000 ","$480,000 ","$534,000 ","$633,500 ","$710,500 ","$706,500 ","$676,000 ","$720,000 ",1939,$311 ,2041,$333 ,2098,$340 ,2196,$341 ,2220,$351 ,2309,$361 ,2449,$374 ,2500,$384 ,2395,$399 ,2473,$408 ,2246,$415 
Malvern,"$1,741,500 ","$1,542,500 ","$1,550,000 ","$1,508,500 ","$1,946,000 ","$2,230,000 ","$2,328,500 ","$2,750,000 ","$2,661,000 ","$2,570,000 ","$2,748,000 ",432,$393 ,414,$396 ,419,$411 ,502,$409 ,497,$433 ,496,$448 ,525,$461 ,505,$460 ,491,$483 ,496,$496 ,423,$475 
Malvern East,"$1,188,000 ","$1,120,000 ","$1,039,000 ","$1,200,000 ","$1,380,000 ","$1,610,000 ","$1,729,000 ","$1,824,000 ","$1,900,000 ","$1,789,000 ","$1,865,000 ",819,$350 ,920,$368 ,1006,$371 ,1057,$368 ,1059,$378 ,1118,$387 ,1098,$398 ,1192,$410 ,1142,$429 ,1419,$459 ,1214,$434 
Melton,"$250,000 ","$256,000 ","$250,000 ","$245,000 ","$240,000 ","$255,000 ","$280,500 ","$368,500 ","$415,000 ","$385,000 ","$390,000 ",1578,$253 ,1975,$266 ,2154,$270 ,2054,$270 ,1891,$277 ,1881,$283 ,1943,$296 ,2193,$315 ,2357,$329 ,2529,$340 ,2756,$346 
Mentone,"$680,000 ","$692,500 ","$665,000 ","$705,000 ","$810,000 ","$950,000 ","$982,500 ","$1,097,500 ","$1,080,000 ","$1,031,000 ","$1,051,000 ",1190,$323 ,1214,$340 ,1416,$350 ,1482,$356 ,1444,$364 ,1474,$374 ,1467,$386 ,1451,$399 ,1457,$419 ,1446,$424 ,1370,$436 
Middle Park,"$1,512,500 ","$1,345,000 ","$1,420,500 ","$1,587,500 ","$2,125,000 ","$2,317,000 ","$2,238,500 ","$2,370,000 ","$2,685,000 ","$2,775,000 ","$2,652,500 ",961,$430 ,915,$445 ,973,$460 ,973,$462 ,1013,$473 ,930,$493 ,958,$515 ,896,$528 ,911,$563 ,876,$568 ,832,$574 
Mill Park,"$420,000 ","$410,000 ","$405,000 ","$408,000 ","$430,500 ","$480,000 ","$560,000 ","$668,500 ","$657,000 ","$653,000 ","$690,000 ",1666,$325 ,1872,$331 ,2081,$331 ,2163,$330 ,2181,$330 ,2179,$335 ,2237,$345 ,2204,$355 ,2128,$368 ,2117,$371 ,2049,$379 
Mitcham,"$635,000 ","$595,000 ","$584,500 ","$650,000 ","$730,000 ","$885,500 ","$941,000 ","$1,070,000 ","$1,000,000 ","$942,000 ","$1,065,000 ",700,$333 ,729,$350 ,763,$353 ,921,$359 ,904,$370 ,960,$373 ,1023,$385 ,981,$396 ,972,$417 ,977,$424 ,874,$421 
Mont Albert,"$1,310,000 ","$1,310,000 ","$1,177,500 ","$1,316,000 ","$1,490,000 ","$1,863,000 ","$1,921,000 ","$2,100,000 ","$1,990,000 ","$1,690,000 ","$2,200,000 ",663,$408 ,692,$411 ,706,$420 ,712,$428 ,761,$446 ,750,$448 ,746,$450 ,754,$476 ,783,$495 ,749,$513 ,731,$515 
Montmorency,"$580,000 ","$560,000 ","$561,000 ","$570,000 ","$614,000 ","$732,000 ","$780,500 ","$890,000 ","$926,000 ","$856,000 ","$916,500 ",683,$346 ,689,$361 ,722,$364 ,726,$365 ,704,$379 ,726,$398 ,751,$403 ,695,$420 ,692,$445 ,658,$450 ,650,$456 
Moonee Ponds,"$852,500 ","$780,500 ","$775,000 ","$830,500 ","$920,000 ","$1,006,000 ","$1,110,500 ","$1,310,000 ","$1,360,000 ","$1,300,000 ","$1,290,000 ",1199,$355 ,1242,$376 ,1346,$389 ,1339,$386 ,1389,$385 ,1470,$393 ,1577,$400 ,1597,$418 ,1537,$438 ,1833,$445 ,1852,$431 
Mordialloc,"$650,000 ","$660,000 ","$642,500 ","$680,000 ","$755,000 ","$850,000 ","$933,000 ","$1,120,000 ","$1,046,500 ","$1,017,500 ","$1,045,000 ",1190,$323 ,1214,$340 ,1416,$350 ,1482,$356 ,1444,$364 ,1474,$374 ,1467,$386 ,1451,$399 ,1457,$419 ,1446,$424 ,1370,$436 
Mornington,"$512,000 ","$525,000 ","$501,500 ","$525,000 ","$558,000 ","$641,000 ","$745,000 ","$800,000 ","$850,000 ","$807,000 ","$890,000 ",1341,$343 ,1284,$365 ,1371,$374 ,1479,$385 ,1447,$394 ,1355,$409 ,1354,$425 ,1329,$450 ,1267,$464 ,1243,$485 ,1244,$495 
Mount Waverley,"$806,000 ","$745,000 ","$733,000 ","$820,000 ","$950,000 ","$1,268,000 ","$1,265,000 ","$1,416,000 ","$1,320,000 ","$1,270,000 ","$1,296,500 ",772,$383 ,802,$395 ,791,$400 ,810,$411 ,874,$423 ,914,$443 ,1017,$460 ,999,$468 ,979,$488 ,1022,$513 ,992,$509 
Mulgrave,"$550,000 ","$531,000 ","$533,000 ","$577,500 ","$627,000 ","$765,500 ","$786,000 ","$900,500 ","$860,000 ","$840,000 ","$834,500 ",1581,$381 ,1673,$399 ,1774,$408 ,1679,$419 ,1833,$425 ,1870,$439 ,1985,$453 ,1962,$465 ,1984,$479 ,1955,$498 ,2058,$499 
Murrumbeena,"$835,000 ","$822,000 ","$785,000 ","$870,000 ","$982,500 ","$1,204,000 ","$1,286,000 ","$1,420,000 ","$1,350,000 ","$1,243,000 ","$1,410,500 ",749,$343 ,780,$350 ,776,$358 ,839,$363 ,855,$364 ,891,$385 ,925,$394 ,843,$405 ,910,$421 ,934,$431 ,874,$436 
Narre Warren,"$368,500 ","$365,000 ","$356,000 ","$370,000 ","$386,000 ","$430,000 ","$486,500 ","$590,000 ","$614,000 ","$589,000 ","$610,000 ",1788,$308 ,1899,$323 ,2069,$330 ,2055,$330 ,2090,$338 ,2199,$342 ,2212,$353 ,2324,$363 ,2425,$374 ,2489,$380 ,2195,$380 
Newport,"$655,000 ","$680,000 ","$630,000 ","$695,000 ","$740,000 ","$825,000 ","$950,000 ","$1,080,000 ","$1,059,000 ","$1,055,000 ","$1,100,000 ",653,$353 ,708,$368 ,723,$389 ,733,$394 ,758,$410 ,762,$434 ,798,$448 ,815,$461 ,808,$474 ,840,$488 ,778,$498 
Noble Park,"$415,000 ","$410,000 ","$382,000 ","$400,000 ","$440,000 ","$510,000 ","$600,000 ","$680,000 ","$680,000 ","$625,500 ","$674,000 ",1162,$283 ,1270,$291 ,1337,$293 ,1432,$300 ,1445,$301 ,1438,$313 ,1483,$321 ,1434,$335 ,1436,$349 ,1414,$355 ,1348,$360 
North Melbourne,"$805,000 ","$750,000 ","$775,000 ","$802,500 ","$832,000 ","$926,000 ","$1,200,000 ","$1,390,000 ","$1,182,500 ","$1,352,500 ","$1,135,000 ",1519,$375 ,1753,$400 ,2013,$384 ,2023,$393 ,2145,$395 ,2475,$398 ,2749,$404 ,2838,$423 ,2776,$445 ,2762,$450 ,3402,$446 
Northcote,"$822,000 ","$780,000 ","$786,000 ","$818,000 ","$935,000 ","$1,008,500 ","$1,190,000 ","$1,325,000 ","$1,345,000 ","$1,303,500 ","$1,413,000 ",949,$395 ,1003,$410 ,1090,$430 ,1143,$436 ,1277,$448 ,1281,$450 ,1331,$448 ,1392,$466 ,1420,$494 ,1337,$500 ,1230,$500 
Nunawading,"$641,000 ","$585,000 ","$591,500 ","$637,500 ","$721,500 ","$880,000 ","$970,000 ","$1,090,000 ","$986,000 ","$951,000 ","$1,039,000 ",700,$333 ,729,$350 ,763,$353 ,921,$359 ,904,$370 ,960,$373 ,1023,$385 ,981,$396 ,972,$417 ,977,$424 ,874,$421 
Oak Park,"$641,000 ","$590,000 ","$540,000 ","$576,500 ","$626,000 ","$660,000 ","$822,500 ","$853,500 ","$878,500 ","$840,000 ","$903,000 ",1267,$313 ,1444,$328 ,1586,$327 ,1659,$323 ,1652,$333 ,1711,$344 ,1817,$350 ,1917,$365 ,2017,$383 ,2017,$395 ,1957,$400 
Oakleigh,"$741,000 ","$700,000 ","$645,000 ","$753,500 ","$801,500 ","$1,002,000 ","$1,050,000 ","$1,210,000 ","$1,250,000 ","$1,101,000 ","$1,200,000 ",928,$358 ,963,$373 ,1032,$375 ,1074,$381 ,983,$390 ,1062,$400 ,1060,$415 ,1188,$431 ,1180,$449 ,1204,$458 ,1205,$458 
Pakenham,"$335,000 ","$340,000 ","$335,000 ","$335,000 ","$350,000 ","$367,000 ","$400,000 ","$470,000 ","$520,000 ","$486,000 ","$526,000 ",1791,$289 ,1951,$305 ,2362,$309 ,2318,$304 ,2217,$313 ,2219,$319 ,2098,$331 ,2216,$343 ,2230,$350 ,2298,$353 ,2268,$354 
Parkdale,"$755,000 ","$755,500 ","$677,000 ","$760,000 ","$860,000 ","$965,000 ","$1,100,000 ","$1,300,000 ","$1,245,000 ","$1,157,500 ","$1,200,000 ",1190,$323 ,1214,$340 ,1416,$350 ,1482,$356 ,1444,$364 ,1474,$374 ,1467,$386 ,1451,$399 ,1457,$419 ,1446,$424 ,1370,$436 
Parkville,"$1,335,000 ","$1,100,000 ","$1,360,000 ","$1,200,000 ","$1,525,000 ","$1,360,500 ","$2,130,000 ","$2,375,000 ","$2,430,000 ","$1,480,000 ","$1,725,000 ",3283,$340 ,3412,$340 ,3835,$340 ,3832,$347 ,4275,$352 ,4871,$366 ,5206,$373 ,4690,$398 ,4422,$417 ,4474,$432 ,4909,$400 
Pascoe Vale,"$609,000 ","$575,000 ","$540,000 ","$580,000 ","$655,000 ","$720,000 ","$805,000 ","$891,000 ","$901,000 ","$855,000 ","$930,000 ",745,$325 ,879,$340 ,907,$346 ,1003,$340 ,1047,$350 ,1100,$355 ,1173,$369 ,1240,$394 ,1290,$403 ,1259,$418 ,1204,$420 
Pascoe Vale South,"$655,000 ","$612,500 ","$627,500 ","$645,500 ","$701,000 ","$745,000 ","$840,000 ","$975,000 ","$955,000 ","$950,000 ","$1,006,000 ",1083,$351 ,1225,$360 ,1350,$370 ,1318,$379 ,1383,$381 ,1350,$394 ,1363,$400 ,1447,$420 ,1429,$441 ,1422,$450 ,1330,$453 
Port Melbourne,"$1,017,500 ","$915,000 ","$960,000 ","$995,000 ","$917,500 ","$1,252,500 ","$1,380,000 ","$1,485,000 ","$1,488,000 ","$1,400,000 ","$1,525,000 ",1369,$491 ,1304,$523 ,1353,$543 ,1528,$525 ,1438,$531 ,1405,$543 ,1391,$553 ,1336,$573 ,1336,$609 ,1227,$613 ,1330,$603 
Portsea,"$1,387,500 ","$1,625,000 ","$1,398,000 ","$1,195,000 ","$1,305,000 ","$1,800,000 ","$1,701,000 ","$1,925,000 ","$2,180,000 ","$1,950,000 ","$2,515,000 ",1651,$269 ,1663,$288 ,1801,$294 ,1941,$300 ,1933,$310 ,1937,$324 ,1906,$340 ,1910,$360 ,1987,$375 ,1938,$381 ,1878,$393 
Prahran,"$940,000 ","$955,000 ","$932,500 ","$990,000 ","$1,175,000 ","$1,350,000 ","$1,430,000 ","$1,525,000 ","$1,578,000 ","$1,520,000 ","$1,632,500 ",1825,$374 ,1914,$390 ,1955,$395 ,2511,$383 ,2665,$389 ,2659,$400 ,2659,$399 ,2500,$414 ,2426,$434 ,2439,$444 ,2429,$445 
Preston,"$615,000 ","$602,000 ","$580,000 ","$632,500 ","$690,000 ","$791,000 ","$882,000 ","$996,000 ","$980,000 ","$940,000 ","$1,026,000 ",1173,$338 ,1223,$350 ,1426,$352 ,1450,$355 ,1413,$364 ,1510,$373 ,1660,$383 ,1699,$396 ,1630,$416 ,1584,$425 ,1667,$423 
Research,"$614,500 ","$657,000 ","$622,500 ","$605,500 ","$685,000 ","$686,000 ","$825,500 ","$950,000 ","$915,000 ","$937,500 ","$1,179,000 ",683,$346 ,689,$361 ,722,$364 ,726,$365 ,704,$379 ,726,$398 ,751,$403 ,695,$420 ,692,$445 ,658,$450 ,650,$456 
Reservoir,"$520,000 ","$500,000 ","$468,500 ","$510,000 ","$541,000 ","$615,000 ","$710,000 ","$812,500 ","$790,000 ","$754,000 ","$805,000 ",1617,$298 ,1764,$311 ,1869,$313 ,2030,$320 ,1968,$322 ,2010,$330 ,2057,$341 ,2098,$353 ,2119,$368 ,2133,$380 ,2038,$383 
Richmond,"$875,500 ","$825,000 ","$823,000 ","$900,000 ","$961,000 ","$1,150,000 ","$1,265,000 ","$1,302,500 ","$1,311,000 ","$1,260,000 ","$1,353,500 ",2115,$440 ,2049,$455 ,2458,$459 ,2644,$474 ,2735,$474 ,2771,$478 ,2757,$488 ,2823,$503 ,2787,$516 ,2984,$525 ,2894,$519 
Ringwood,"$553,500 ","$506,000 ","$503,500 ","$551,000 ","$660,000 ","$777,500 ","$837,500 ","$910,500 ","$896,500 ","$803,000 ","$900,000 ",1204,$313 ,1273,$325 ,1394,$333 ,1411,$334 ,1413,$346 ,1458,$358 ,1594,$366 ,1634,$381 ,1632,$393 ,1652,$400 ,1567,$413 
Rowville,"$540,000 ","$527,500 ","$530,000 ","$570,000 ","$617,500 ","$710,000 ","$778,000 ","$867,000 ","$840,000 ","$820,000 ","$840,000 ",445,$360 ,469,$380 ,454,$391 ,458,$399 ,479,$400 ,547,$405 ,552,$420 ,543,$439 ,567,$446 ,601,$450 ,546,$453 
Roxburgh Park,"$371,000 ","$360,000 ","$355,000 ","$365,000 ","$385,000 ","$400,000 ","$435,000 ","$515,000 ","$546,000 ","$543,000 ","$574,000 ",1093,$303 ,1211,$313 ,1294,$313 ,1433,$310 ,1380,$320 ,1423,$327 ,1652,$333 ,1738,$346 ,1750,$365 ,1731,$370 ,1610,$370 
Scoresby,"$488,000 ","$472,000 ","$480,000 ","$509,000 ","$570,000 ","$661,000 ","$700,000 ","$878,500 ","$835,000 ","$767,000 ","$785,000 ",687,$348 ,722,$359 ,820,$366 ,816,$373 ,818,$380 ,940,$395 ,1123,$400 ,1156,$420 ,1172,$435 ,1208,$441 ,1126,$443 
Seaford,"$412,500 ","$415,000 ","$392,500 ","$419,000 ","$450,000 ","$475,000 ","$580,500 ","$700,000 ","$695,000 ","$655,000 ","$694,000 ",1509,$287 ,1704,$305 ,1847,$310 ,1938,$317 ,1906,$320 ,1727,$329 ,1666,$344 ,1760,$353 ,1779,$366 ,1822,$370 ,1637,$378 
Seddon,"$645,500 ","$620,500 ","$670,000 ","$675,000 ","$730,000 ","$830,000 ","$934,500 ","$982,500 ","$1,018,500 ","$960,000 ","$1,100,000 ",1067,$348 ,1113,$350 ,1125,$368 ,1149,$379 ,1185,$398 ,1229,$411 ,1247,$425 ,1203,$450 ,1277,$464 ,1269,$485 ,1266,$491 
South Melbourne,"$960,000 ","$925,000 ","$930,000 ","$1,030,000 ","$1,200,000 ","$1,310,000 ","$1,595,000 ","$1,532,500 ","$1,465,000 ","$1,355,000 ","$1,580,000 ",692,$471 ,771,$480 ,742,$500 ,931,$498 ,1181,$500 ,1073,$497 ,1043,$500 ,1071,$511 ,1240,$524 ,1118,$543 ,1061,$520 
South Yarra,"$1,375,000 ","$1,125,000 ","$1,238,000 ","$1,352,500 ","$1,450,000 ","$1,700,000 ","$1,890,000 ","$2,035,000 ","$1,851,000 ","$1,850,000 ","$1,977,500 ",2468,$385 ,2618,$396 ,3232,$408 ,3357,$409 ,3600,$405 ,3717,$420 ,4107,$441 ,3795,$450 ,3601,$466 ,3651,$485 ,3907,$461 
Spotswood,"$635,000 ","$602,500 ","$655,000 ","$680,000 ","$640,000 ","$795,000 ","$917,500 ","$1,027,500 ","$1,080,000 ","$950,000 ","$1,000,000 ",653,$353 ,708,$368 ,723,$389 ,733,$394 ,758,$410 ,762,$434 ,798,$448 ,815,$461 ,808,$474 ,840,$488 ,778,$498 
Springvale,"$490,000 ","$470,000 ","$448,000 ","$451,500 ","$530,000 ","$629,500 ","$685,000 ","$750,000 ","$786,000 ","$743,000 ","$778,000 ",1248,$300 ,1412,$309 ,1524,$319 ,1597,$320 ,1507,$329 ,1558,$343 ,1644,$353 ,1718,$368 ,1816,$381 ,1871,$394 ,1785,$397 
St Albans,"$385,000 ","$387,000 ","$348,000 ","$350,000 ","$373,500 ","$428,000 ","$500,000 ","$610,000 ","$626,500 ","$591,000 ","$600,000 ",1841,$279 ,1939,$288 ,2035,$290 ,2178,$294 ,2002,$303 ,2031,$310 ,2034,$320 ,2098,$335 ,2031,$349 ,1906,$354 ,1783,$359 
St Kilda,"$930,000 ","$860,000 ","$861,000 ","$892,000 ","$1,225,000 ","$1,164,000 ","$1,305,000 ","$1,551,000 ","$1,755,000 ","$1,600,000 ","$1,296,500 ",2612,$353 ,2662,$370 ,2842,$380 ,3031,$380 ,3080,$379 ,3007,$380 ,3120,$396 ,3109,$408 ,2834,$420 ,2862,$429 ,2897,$420 
Sunbury,"$343,000 ","$360,000 ","$350,000 ","$355,000 ","$360,000 ","$370,000 ","$395,000 ","$492,000 ","$545,000 ","$533,500 ","$570,000 ",728,$288 ,783,$304 ,898,$310 ,943,$316 ,956,$320 ,950,$328 ,902,$331 ,898,$345 ,953,$363 ,910,$376 ,901,$374 
Sunshine,"$458,000 ","$430,000 ","$400,000 ","$435,000 ","$483,500 ","$530,500 ","$675,000 ","$765,000 ","$735,000 ","$720,000 ","$755,500 ",1227,$275 ,1371,$280 ,1457,$286 ,1544,$292 ,1477,$300 ,1528,$310 ,1527,$318 ,1497,$334 ,1520,$345 ,1551,$355 ,1451,$360 
Surrey Hills,"$1,204,000 ","$1,212,000 ","$1,121,500 ","$1,323,000 ","$1,450,000 ","$1,750,000 ","$1,800,500 ","$2,170,000 ","$1,900,000 ","$1,890,000 ","$1,844,500 ",663,$408 ,692,$411 ,706,$420 ,712,$428 ,761,$446 ,750,$448 ,746,$450 ,754,$476 ,783,$495 ,749,$513 ,731,$515 
Sydenham,"$399,000 ","$420,500 ","$415,000 ","$425,000 ","$415,000 ","$440,000 ","$505,000 ","$590,000 ","$620,000 ","$599,500 ","$637,500 ",1941,$318 ,2021,$330 ,1973,$330 ,2196,$340 ,2267,$350 ,2256,$359 ,2221,$366 ,2167,$381 ,2249,$395 ,2386,$400 ,2382,$400 
Templestowe,"$805,000 ","$804,000 ","$811,000 ","$865,000 ","$951,500 ","$1,180,000 ","$1,260,000 ","$1,415,000 ","$1,308,000 ","$1,281,500 ","$1,371,500 ",1124,$389 ,1214,$401 ,1435,$403 ,1448,$416 ,1397,$428 ,1511,$443 ,1764,$450 ,2018,$456 ,2059,$478 ,2201,$489 ,2083,$481 
Thomastown,"$418,000 ","$400,000 ","$365,000 ","$390,000 ","$420,000 ","$436,000 ","$493,000 ","$653,000 ","$637,000 ","$593,500 ","$622,000 ",765,$295 ,909,$300 ,1053,$305 ,1062,$308 ,1070,$315 ,1072,$320 ,1112,$329 ,1119,$343 ,1117,$355 ,1130,$360 ,1133,$363 
Thornbury,"$720,000 ","$690,000 ","$715,500 ","$729,000 ","$840,000 ","$918,000 ","$1,079,500 ","$1,225,000 ","$1,137,500 ","$1,150,000 ","$1,250,000 ",942,$303 ,1021,$305 ,1116,$335 ,1052,$330 ,1070,$342 ,1173,$353 ,1202,$364 ,1189,$384 ,1191,$414 ,1082,$421 ,1091,$423 
Toorak,"$2,590,000 ","$2,617,500 ","$2,775,000 ","$2,875,000 ","$3,391,000 ","$3,987,500 ","$4,900,000 ","$5,100,000 ","$4,700,000 ","$4,550,000 ","$5,200,000 ",720,$400 ,776,$415 ,761,$449 ,805,$444 ,813,$451 ,769,$451 ,796,$463 ,779,$483 ,772,$500 ,751,$500 ,708,$525 
Tullamarine,"$440,000 ","$420,000 ","$393,500 ","$395,000 ","$412,000 ","$472,500 ","$530,000 ","$655,000 ","$665,500 ","$612,000 ","$628,000 ",503,$300 ,564,$313 ,640,$323 ,642,$320 ,610,$330 ,655,$335 ,586,$344 ,585,$360 ,619,$378 ,638,$386 ,650,$391 
Vermont,"$610,000 ","$552,500 ","$571,000 ","$610,000 ","$725,000 ","$855,000 ","$900,000 ","$1,065,000 ","$980,000 ","$937,000 ","$1,000,000 ",668,$362 ,741,$379 ,784,$384 ,837,$387 ,831,$398 ,858,$410 ,892,$420 ,962,$431 ,951,$450 ,1008,$455 ,956,$460 
Wantirna,"$545,000 ","$528,000 ","$515,000 ","$576,000 ","$667,500 ","$764,000 ","$801,000 ","$953,000 ","$915,000 ","$860,000 ","$910,500 ",687,$348 ,722,$359 ,820,$366 ,816,$373 ,818,$380 ,940,$395 ,1123,$400 ,1156,$420 ,1172,$435 ,1208,$441 ,1126,$443 
Werribee,"$308,500 ","$315,000 ","$300,000 ","$309,000 ","$315,000 ","$335,000 ","$403,000 ","$470,000 ","$510,000 ","$505,000 ","$523,000 ",4387,$278 ,4778,$287 ,5587,$290 ,4948,$290 ,4623,$299 ,4854,$310 ,4921,$325 ,5453,$341 ,6357,$360 ,7150,$370 ,7767,$369 
West Footscray,"$558,500 ","$525,000 ","$532,500 ","$553,000 ","$637,500 ","$697,000 ","$798,000 ","$887,500 ","$875,000 ","$785,000 ","$835,000 ",956,$300 ,1145,$309 ,1226,$320 ,1358,$320 ,1363,$328 ,1439,$335 ,1499,$355 ,1448,$366 ,1399,$380 ,1401,$395 ,1425,$403 
West Melbourne,"$816,000 ","$885,000 ","$720,000 ","$905,000 ","$916,000 ","$1,005,000 ","$1,104,500 ","$1,350,000 ","$1,370,000 ","$1,017,500 ","$1,215,000 ",1519,$375 ,1753,$400 ,2013,$384 ,2023,$393 ,2145,$395 ,2475,$398 ,2749,$404 ,2838,$423 ,2776,$445 ,2762,$450 ,3402,$446 
