Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Rowville,540000,527500,530000,570000,617500,710000,778000,867000,840000,820000,840000,56,4.5,$360 ,$380 ,$390 ,$400 ,$400 ,$400 ,$420 ,$440 ,$445 ,$450 ,$450 
Roxburgh Park,371000,360000,355000,365000,385000,400000,435000,515000,546000,543000,574000,55,4.5,$300 ,$310 ,$315 ,$310 ,$320 ,$325 ,$330 ,$345 ,$360 ,$370 ,$370 
Scoresby,488000,472000,480000,509000,570000,661000,700000,878500,835000,767000,785000,61,4.9,$350 ,$355 ,$365 ,$370 ,$380 ,$395 ,$400 ,$420 ,$430 ,$440 ,$440 
Seaford,412500,415000,392500,419000,450000,475000,580500,700000,695000,655000,694000,68,5.3,$283 ,$300 ,$310 ,$315 ,$320 ,$330 ,$340 ,$350 ,$365 ,$370 ,$375 
Seddon,645500,620500,670000,675000,730000,830000,934500,982500,1018500,960000,1100000,70,5.5,$350 ,$350 ,$368 ,$380 ,$395 ,$410 ,$420 ,$450 ,$460 ,$480 ,$495 
South Melbourne,960000,925000,930000,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,65,5.1,$470 ,$480 ,$500 ,$500 ,$500 ,$495 ,$500 ,$510 ,$520 ,$540 ,$530 
South Yarra,1375000,1125000,1238000,1352500,1450000,1700000,1890000,2035000,1851000,1850000,1977500,44,3.7,$381 ,$395 ,$405 ,$410 ,$400 ,$420 ,$440 ,$450 ,$465 ,$480 ,$475 
Spotswood,635000,602500,655000,680000,640000,795000,917500,1027500,1080000,950000,1000000,57,4.6,$350 ,$360 ,$390 ,$390 ,$410 ,$430 ,$450 ,$460 ,$475 ,$480 ,$495 
Springvale,490000,470000,448000,451500,530000,629500,685000,750000,786000,743000,778000,59,4.7,$300 ,$305 ,$320 ,$320 ,$330 ,$340 ,$350 ,$365 ,$380 ,$390 ,$400 
St Albans,385000,387000,348000,350000,373500,428000,500000,610000,626500,591000,600000,56,4.5,$280 ,$285 ,$290 ,$290 ,$300 ,$310 ,$320 ,$330 ,$350 ,$350 ,$360 
St Kilda,930000,860000,861000,892000,1225000,1164000,1305000,1551000,1755000,1600000,1296500,39,3.4,$350 ,$370 ,$380 ,$380 ,$375 ,$380 ,$395 ,$405 ,$420 ,$430 ,$430 
Sunbury,343000,360000,350000,355000,360000,370000,395000,492000,545000,533500,570000,66,5.2,$285 ,$300 ,$310 ,$310 ,$320 ,$330 ,$330 ,$340 ,$360 ,$375 ,$370 
Sunshine,458000,430000,400000,435000,483500,530500,675000,765000,735000,720000,755500,65,5.1,$270 ,$280 ,$284 ,$290 ,$300 ,$310 ,$320 ,$330 ,$340 ,$350 ,$360 
Surrey Hills,1204000,1212000,1121500,1323000,1450000,1750000,1800500,2170000,1900000,1890000,1844500,53,4.4,$405 ,$410 ,$420 ,$425 ,$450 ,$440 ,$450 ,$475 ,$490 ,$520 ,$520 
Sydenham,399000,420500,415000,425000,415000,440000,505000,590000,620000,599500,637500,60,4.8,$320 ,$330 ,$330 ,$340 ,$350 ,$360 ,$365 ,$380 ,$390 ,$400 ,$400 
Templestowe,805000,804000,811000,865000,951500,1180000,1260000,1415000,1308000,1281500,1371500,70,5.5,$390 ,$400 ,$400 ,$415 ,$430 ,$440 ,$450 ,$450 ,$480 ,$490 ,$480 
Thomastown,418000,400000,365000,390000,420000,436000,493000,653000,637000,593500,622000,49,4.1,$290 ,$300 ,$300 ,$310 ,$310 ,$320 ,$330 ,$340 ,$350 ,$360 ,$365 
Thornbury,720000,690000,715500,729000,840000,918000,1079500,1225000,1137500,1150000,1250000,74,5.7,$300 ,$300 ,$340 ,$330 ,$340 ,$350 ,$365 ,$370 ,$410 ,$420 ,$420 
Toorak,2590000,2617500,2775000,2875000,3391000,3987500,4900000,5100000,4700000,4550000,5200000,101,7.2,$400 ,$410 ,$450 ,$440 ,$450 ,$450 ,$465 ,$475 ,$500 ,$500 ,$525 
Tullamarine,440000,420000,393500,395000,412000,472500,530000,655000,665500,612000,628000,43,3.6,$300 ,$310 ,$325 ,$320 ,$330 ,$335 ,$340 ,$360 ,$380 ,$385 ,$390 
Vermont,610000,552500,571000,610000,725000,855000,900000,1065000,980000,937000,1000000,64,5.1,$360 ,$380 ,$385 ,$388 ,$395 ,$410 ,$420 ,$420 ,$450 ,$450 ,$460 
Wantirna,545000,528000,515000,576000,667500,764000,801000,953000,915000,860000,910500,67,5.3,$350 ,$355 ,$365 ,$370 ,$380 ,$395 ,$400 ,$420 ,$430 ,$440 ,$440 
Werribee,308500,315000,300000,309000,315000,335000,403000,470000,510000,505000,523000,70,5.4,$275 ,$285 ,$290 ,$290 ,$300 ,$310 ,$320 ,$340 ,$360 ,$370 ,$370 
West Footscray,558500,525000,532500,553000,637500,697000,798000,887500,875000,785000,835000,50,4.1,$300 ,$310 ,$320 ,$320 ,$330 ,$330 ,$350 ,$360 ,$380 ,$390 ,$410 
West Melbourne,816000,885000,720000,905000,916000,1005000,1104500,1350000,1370000,1017500,1215000,49,4.1,$380 ,$400 ,$390 ,$390 ,$390 ,$400 ,$400 ,$420 ,$440 ,$450 ,$455 
Whittlesea,345000,372500,365000,375000,375000,400000,448500,469500,577500,580000,610000,77,5.9,$330 ,$350 ,$335 ,$330 ,$330 ,$340 ,$340 ,$350 ,$370 ,$380 ,$390 
Williamstown,884000,900000,901000,920000,970000,1120000,1282500,1440000,1415000,1350000,1370000,55,4.5,$380 ,$420 ,$430 ,$450 ,$450 ,$450 ,$480 ,$490 ,$495 ,$515 ,$530 
Windsor,900000,824000,818000,835000,956500,1094000,1505000,1420000,1422500,1350000,1350000,50,4.1,$370 ,$390 ,$400 ,$380 ,$385 ,$400 ,$400 ,$410 ,$440 ,$440 ,$450 
Yarraville,647000,607000,613000,696000,710000,810000,900500,1000000,1045000,974000,1038500,61,4.8,$350 ,$350 ,$368 ,$380 ,$395 ,$410 ,$420 ,$450 ,$460 ,$480 ,$495 
