Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Carnegie,880000,905500,845000,865000,1007500,1300000,1348500,1509000,1445000,1313500,1420000,61,4.9,$318 ,$330 ,$345 ,$350 ,$350 ,$360 ,$380 ,$400 ,$420 ,$435 ,$440 
Carrum,500000,492500,499000,510000,536000,611000,750000,835500,860000,770000,830000,66,5.2,$320 ,$350 ,$355 ,$353 ,$370 ,$380 ,$390 ,$400 ,$420 ,$440 ,$440 
Carrum Downs,330000,345000,334000,330000,346000,370000,430000,525000,575000,537000,576000,75,5.7,$283 ,$300 ,$310 ,$315 ,$320 ,$330 ,$340 ,$350 ,$365 ,$370 ,$375 
Caulfield,1180000,1150000,1085000,1172500,1322000,1650000,1715000,1914000,1701000,1762500,1811000,53,4.4,$360 ,$380 ,$395 ,$390 ,$390 ,$400 ,$410 ,$440 ,$450 ,$470 ,$480 
Chadstone,670500,625000,595000,719000,823500,925000,1017500,1131000,1050000,958000,1105000,65,5.1,$360 ,$370 ,$375 ,$380 ,$390 ,$400 ,$410 ,$430 ,$450 ,$460 ,$460 
Chelsea,585500,525000,545000,577500,580000,730000,890000,914000,905000,856500,965000,65,5.1,$320 ,$350 ,$355 ,$353 ,$370 ,$380 ,$390 ,$400 ,$420 ,$440 ,$440 
Cheltenham,696000,644000,635500,695000,775000,866000,940500,1171000,1105000,1035000,1160000,67,5.2,$360 ,$380 ,$390 ,$380 ,$390 ,$400 ,$420 ,$440 ,$450 ,$460 ,$470 
Clayton,650500,617000,572500,645000,750000,976000,1010500,1250000,1255000,1150000,1050000,61,4.9,$330 ,$340 ,$350 ,$345 ,$350 ,$360 ,$370 ,$380 ,$400 ,$411 ,$420 
Clifton Hill,825000,780000,801500,865000,965000,1085000,1220000,1390000,1360000,1348000,1375000,67,5.2,$430 ,$450 ,$460 ,$490 ,$495 ,$500 ,$500 ,$520 ,$550 ,$570 ,$550 
Coburg,640000,611000,594000,633000,710000,778000,876000,1000000,969000,935500,1095000,71,5.5,$350 ,$360 ,$370 ,$375 ,$380 ,$390 ,$400 ,$418 ,$440 ,$450 ,$450 
Coburg North,533000,540000,489500,538500,600000,665000,780000,821000,814000,805000,912500,71,5.5,$320 ,$340 ,$345 ,$340 ,$350 ,$350 ,$365 ,$390 ,$400 ,$420 ,$420 
Collingwood,751500,697500,734000,741000,775000,914000,920000,1205000,1110000,1060000,1158000,54,4.4,$410 ,$427 ,$450 ,$450 ,$450 ,$430 ,$450 ,$450 ,$475 ,$495 ,$490 
Craigieburn,365000,360000,350000,360000,362000,390000,425000,502500,547000,525000,567500,55,4.5,$320 ,$330 ,$330 ,$320 ,$330 ,$330 ,$340 ,$350 ,$370 ,$380 ,$390 
Cranbourne,327000,325000,313000,315000,331500,360000,406000,510000,540000,500000,520000,59,4.7,$290 ,$315 ,$325 ,$330 ,$340 ,$350 ,$360 ,$375 ,$380 ,$390 ,$390 
Croydon,465000,465000,450000,470000,525000,605000,695000,810000,792500,735000,787500,69,5.4,$310 ,$330 ,$340 ,$340 ,$350 ,$360 ,$370 ,$380 ,$400 ,$410 ,$410 
Dandenong,430000,400500,400000,405000,439000,485000,555500,619000,640000,601000,625000,45,3.8,$270 ,$280 ,$290 ,$290 ,$300 ,$300 ,$320 ,$330 ,$340 ,$350 ,$350 
