Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BADGER CREEK,Badger Creek,"$295,000 ","$295,000 ","$295,000 ","$315,000 ","$325,000 ","$345,000 ","$379,000 ","$465,000 ","$500,000 ","$498,000 ","$550,000 "
BAIRNSDALE,Bairnsdale,"$230,000 ","$235,000 ","$231,000 ","$235,000 ","$244,000 ","$246,500 ","$255,000 ","$272,500 ","$279,000 ","$274,000 ","$290,000 "
BALACLAVA,Balaclava,"$916,000 ","$793,500 ","$717,500 ","$860,500 ","$942,000 ","$1,100,000 ","$1,242,500 ","$1,385,500 ","$1,196,000 ","$1,350,000 ","$1,395,000 "
BALCOMBE,Balcombe,"$655,000 ","$718,500 ","$686,000 ","$712,500 ","$737,000 ","$871,000 ","$950,000 ","$1,100,000 ","$1,240,000 ","$1,125,000 ","$1,300,000 "
BALLAN,Ballan,"$260,000 ","$310,000 ","$305,000 ","$352,000 ","$330,000 ","$359,000 ","$370,000 ","$417,000 ","$462,000 ","$450,000 ","$500,000 "
BALLARAT CENTRAL,Ballarat Central,"$280,000 ","$320,000 ","$313,500 ","$322,000 ","$327,500 ","$353,000 ","$385,000 ","$430,000 ","$447,500 ","$515,000 ","$560,000 "
BALLARAT EAST,Ballarat East,"$225,500 ","$245,000 ","$255,000 ","$265,000 ","$265,000 ","$275,000 ","$295,000 ","$310,000 ","$340,000 ","$360,000 ","$398,000 "
BALLARAT NORTH,Ballarat North,"$272,000 ","$275,000 ","$280,000 ","$296,000 ","$312,000 ","$315,000 ","$339,500 ","$346,500 ","$389,000 ","$415,000 ","$423,000 "
BALNARRING,Balnarring,"$480,000 ","$472,500 ","$501,500 ","$525,000 ","$544,000 ","$595,000 ","$670,000 ","$815,000 ","$814,500 ","$825,000 ","$938,500 "
BALNARRING BEACH,Balnarring Beach,"$787,500 ","$630,000 ","$660,000 ","$750,000 ","$700,000 ","$887,500 ","$904,000 ","$890,000 ","$1,115,000 ","$1,275,000 ","$1,210,000 "
BALWYN,Balwyn,"$1,450,000 ","$1,363,000 ","$1,295,000 ","$1,530,000 ","$1,780,000 ","$2,210,000 ","$2,180,000 ","$2,340,000 ","$2,420,000 ","$2,392,500 ","$2,260,000 "
BALWYN NORTH,Balwyn North,"$1,141,000 ","$1,100,000 ","$997,500 ","$1,240,000 ","$1,452,000 ","$1,850,000 ","$1,800,000 ","$1,950,000 ","$1,810,000 ","$1,722,500 ","$1,875,000 "
BANNOCKBURN,Bannockburn,"$342,500 ","$378,000 ","$351,500 ","$370,000 ","$405,000 ","$393,000 ","$382,000 ","$430,000 ","$487,500 ","$530,000 ","$555,000 "
BARANDUDA,Baranduda,"$353,000 ","$340,000 ","$340,000 ","$345,000 ","$330,000 ","$323,000 ","$350,000 ","$350,000 ","$403,500 ","$395,000 ","$425,000 "
BARNAWARTHA,Barnawartha,"$169,000 ","$220,000 ","$222,000 ","$245,000 ","$220,000 ","$305,000 ","$245,000 ","$312,000 ","$280,000 ","$312,000 ","$345,000 "
BARWON HEADS,Barwon Heads,"$615,500 ","$607,500 ","$632,500 ","$742,500 ","$715,000 ","$775,000 ","$842,500 ","$916,000 ","$965,000 ","$1,016,500 ","$1,240,000 "
BAXTER,Baxter,"$317,000 ","$320,000 ","$315,000 ","$330,500 ","$325,000 ","$340,000 ","$403,000 ","$530,000 ","$542,500 ","$530,000 ","$567,500 "
BAYSWATER,Bayswater,"$453,500 ","$447,500 ","$426,500 ","$458,500 ","$525,000 ","$632,500 ","$693,000 ","$800,500 ","$753,000 ","$720,000 ","$746,500 "
BAYSWATER NORTH,Bayswater North,"$450,000 ","$436,000 ","$426,500 ","$468,500 ","$490,000 ","$580,000 ","$628,000 ","$737,500 ","$713,000 ","$695,000 ","$730,000 "
BEACONSFIELD,Beaconsfield,"$460,000 ","$505,000 ","$511,500 ","$486,500 ","$525,000 ","$559,000 ","$585,000 ","$694,500 ","$730,000 ","$685,000 ","$717,500 "
BEACONSFIELD UPPER,Beaconsfield Upper,"$472,000 ","$437,500 ","$535,000 ","$470,000 ","$507,500 ","$602,500 ","$630,000 ","$725,500 ","$903,500 ","$787,500 ","$818,000 "
BEAUFORT,Beaufort,"$174,500 ","$142,500 ","$186,000 ","$186,000 ","$220,000 ","$205,000 ","$237,500 ","$220,000 ","$225,000 ","$242,500 ","$322,000 "
BEAUMARIS,Beaumaris,"$1,107,500 ","$1,050,000 ","$997,000 ","$1,074,000 ","$1,129,500 ","$1,345,000 ","$1,455,000 ","$1,611,000 ","$1,674,000 ","$1,587,500 ","$1,705,000 "
