,Locality,,Jun-10,,Jun-11,,Jun-12,,Jun-13,,Jun-14,,Jun-15,,Jun-16,,Jun-17,,Jun-18,,Jun-19,,Jun-20
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
,Burwood-Ashburton,916,$357 ,996,$360 ,993,$390 ,"1,024",$400 ,"1,183",$395 ,"1,188",$401 ,"1,208",$430 ,"1,310",$438 ,"1,439",$460 ,"1,330",$461 ,"1,433",$460 
,Camberwell-Glen Iris,"1,427",$380 ,"1,519",$400 ,"1,627",$420 ,"1,632",$420 ,"1,698",$420 ,"1,849",$430 ,"1,906",$440 ,"1,921",$450 ,"1,909",$490 ,"1,825",$500 ,"1,717",$500 
,Canterbury-Surrey Hills-Mont Albert,645,$405 ,689,$410 ,704,$420 ,727,$425 ,745,$450 ,749,$440 ,744,$450 ,748,$475 ,802,$490 ,713,$520 ,764,$520 
,Chadstone-Oakleigh,913,$360 ,985,$370 ,"1,008",$375 ,"1,075",$380 ,975,$390 ,"1,063",$400 ,"1,066",$410 ,"1,190",$430 ,"1,169",$450 ,"1,205",$460 ,"1,195",$460 
,Clayton,"1,640",$330 ,"1,812",$340 ,"1,748",$350 ,"1,909",$345 ,"2,069",$350 ,"2,068",$360 ,"2,073",$370 ,"1,988",$380 ,"1,986",$400 ,"2,099",$411 ,"2,184",$420 
,Doncaster East-Donvale,850,$375 ,834,$395 ,841,$400 ,851,$410 ,859,$420 ,912,$450 ,"1,024",$450 ,"1,071",$465 ,"1,036",$480 ,"1,092",$490 ,"1,049",$500 
,East Hawthorn,753,$360 ,775,$375 ,823,$390 ,855,$395 ,920,$395 ,949,$400 ,"1,200",$400 ,"1,187",$420 ,"1,058",$440 ,"1,062",$450 ,"1,126",$440 
,Glen Waverley-Mulgrave,"1,565",$380 ,"1,631",$400 ,"1,788",$410 ,"1,696",$420 ,"1,810",$420 ,"1,860",$440 ,"2,005",$450 ,"1,937",$460 ,"1,993",$475 ,"1,963",$500 ,"2,050",$500 
,Hawthorn,"1,834",$340 ,"1,933",$350 ,"2,151",$350 ,"2,298",$350 ,"2,378",$350 ,"2,432",$365 ,"2,426",$370 ,"2,415",$380 ,"2,277",$400 ,"2,191",$410 ,"1,942",$420 
,Kew,"1,056",$400 ,"1,051",$430 ,"1,127",$440 ,"1,124",$450 ,"1,177",$450 ,"1,208",$465 ,"1,219",$475 ,"1,228",$490 ,"1,257",$500 ,"1,138",$513 ,"1,137",$530 
,Mount Waverley,769,$380 ,791,$400 ,792,$400 ,809,$410 ,861,$420 ,910,$440 ,"1,009",$460 ,"1,001",$465 ,973,$480 ,"1,022",$510 ,"1,008",$510 
,Nunawading-Mitcham,693,$330 ,715,$350 ,773,$355 ,907,$360 ,889,$370 ,938,$370 ,"1,042",$385 ,991,$395 ,968,$418 ,978,$425 ,885,$420 
,Vermont-Forest Hill-Burwood East,649,$360 ,743,$380 ,780,$385 ,842,$388 ,814,$395 ,868,$410 ,883,$420 ,958,$420 ,941,$450 ,"1,003",$450 ,979,$460 
,Group Total,"17,600",$360 ,"18,710",$380 ,"19,872",$390 ,"20,538",$390 ,"21,291",$395 ,"22,010",$400 ,"23,454",$420 ,"24,299",$430 ,"24,465",$450 ,"24,277",$460 ,"24,165",$470 
Southern Melbourne,Aspendale-Chelsea-Carrum,"1,405",$320 ,"1,428",$350 ,"1,563",$355 ,"1,512",$353 ,"1,477",$370 ,"1,404",$380 ,"1,492",$390 ,"1,487",$400 ,"1,454",$420 ,"1,479",$440 ,"1,544",$440 
,Bentleigh,"1,607",$380 ,"1,672",$395 ,"1,811",$400 ,"1,871",$400 ,"1,825",$420 ,"1,949",$430 ,"2,084",$440 ,"2,119",$460 ,"2,278",$485 ,"2,572",$500 ,"2,329",$500 
,Brighton,732,$550 ,782,$583 ,790,$590 ,817,$635 ,911,$600 ,919,$630 ,933,$600 ,974,$595 ,928,$650 ,"1,000",$650 ,857,$680 
,Brighton East,326,$520 ,333,$590 ,371,$600 ,446,$578 ,400,$575 ,378,$600 ,440,$620 ,434,$655 ,403,$670 ,429,$700 ,424,$750 
,Carnegie,934,$318 ,"1,033",$330 ,"1,021",$345 ,"1,081",$350 ,"1,092",$350 ,"1,172",$360 ,"1,236",$380 ,"1,241",$400 ,"1,229",$420 ,"1,360",$435 ,"1,302",$440 
,Caulfield,"1,653",$360 ,"1,737",$380 ,"1,734",$395 ,"1,977",$390 ,"2,143",$390 ,"2,057",$400 ,"1,996",$410 ,"2,360",$440 ,"2,254",$450 ,"2,236",$470 ,"2,486",$480 
,Cheltenham,"1,227",$360 ,"1,310",$380 ,"1,328",$390 ,"1,462",$380 ,"1,629",$390 ,"1,632",$400 ,"1,719",$420 ,"1,796",$440 ,"1,941",$450 ,"1,964",$460 ,"1,902",$470 
,Elsternwick,557,$350 ,574,$370 ,690,$390 ,605,$390 ,633,$395 ,659,$400 ,639,$395 ,736,$420 ,728,$420 ,671,$450 ,669,$450 
,Hampton-Beaumaris,973,$475 ,"1,032",$488 ,"1,143",$500 ,"1,159",$495 ,"1,180",$500 ,"1,317",$495 ,"1,254",$525 ,"1,253",$525 ,"1,244",$550 ,"1,191",$595 ,"1,262",$585 
,Malvern,442,$390 ,407,$395 ,422,$420 ,509,$400 ,482,$433 ,502,$450 ,529,$455 ,495,$460 ,491,$475 ,498,$500 ,446,$468 
,Malvern East,820,$350 ,917,$365 ,984,$375 ,"1,051",$369 ,"1,064",$375 ,"1,124",$388 ,"1,060",$395 ,"1,198",$410 ,"1,121",$425 ,"1,419",$460 ,"1,221",$440 
,Mentone-Parkdale-Mordialloc,"1,194",$320 ,"1,193",$340 ,"1,417",$350 ,"1,499",$355 ,"1,414",$360 ,"1,502",$370 ,"1,452",$380 ,"1,470",$400 ,"1,444",$420 ,"1,443",$420 ,"1,409",$435 
,Murrumbeena-Hughesdale,753,$340 ,778,$350 ,772,$360 ,856,$360 ,849,$360 ,879,$385 ,937,$395 ,836,$400 ,914,$420 ,918,$430 ,885,$440 
,Group Total,"12,623",$360 ,"13,196",$380 ,"14,046",$395 ,"14,845",$395 ,"15,099",$400 ,"15,494",$410 ,"15,771",$420 ,"16,399",$445 ,"16,429",$460 ,"17,180",$475 ,"16,736",$480 
Outer Western Melbourne,Altona,"3,031",$320 ,"3,468",$330 ,"4,304",$330 ,"4,239",$340 ,"4,253",$350 ,"4,206",$356 ,"4,522",$370 ,"5,011",$380 ,"4,874",$400 ,"5,183",$400 ,"5,250",$400 
,Footscray,"1,004",$300 ,"1,074",$303 ,"1,250",$320 ,"1,291",$320 ,"1,303",$330 ,"1,499",$330 ,"1,314",$345 ,"1,429",$360 ,"1,468",$370 ,"1,346",$380 ,"1,519",$390 
